4.93	0.00	2.50	5.06	0.00	0.00	0.00	0.00	0.00	1543793	123073	107683	170374	186	976	2321	0.05	0.00	0.28	0.01	0.67	0.02
5.07	0.00	2.50	4.90	0.00	0.00	0.00	0.00	0.00	1543594	122935	108420	170836	160	1016	2336	0.05	0.00	0.29	0.01	0.67	0.02
4.47	0.00	2.50	5.51	0.00	0.00	0.00	0.00	0.00	1543675	123984	104893	172618	223	832	2465	0.06	0.00	0.24	0.01	0.70	0.02
4.78	0.00	2.50	5.21	0.00	0.00	0.00	0.00	0.00	1541640	124490	106901	173983	160	909	2372	0.05	0.00	0.26	0.01	0.69	0.02
5.21	0.00	2.50	4.73	0.00	0.00	0.00	0.00	0.00	1547114	123134	108888	170339	149	1038	2330	0.04	0.00	0.30	0.01	0.66	0.02
4.31	0.00	2.50	5.51	0.00	0.00	0.00	0.00	0.00	1541497	123477	114448	163903	160	1266	2048	0.05	0.00	0.36	0.01	0.59	0.02
5.21	0.00	2.50	4.56	0.00	0.00	0.00	0.00	0.00	1558776	120975	119442	158031	157	1583	1800	0.04	0.00	0.45	0.01	0.51	0.01
5.07	0.00	2.50	4.73	0.00	0.00	0.00	0.00	0.00	1548488	122244	119968	159144	138	1560	1817	0.04	0.00	0.44	0.01	0.52	0.01
4.93	0.00	2.50	4.90	0.00	0.00	0.00	0.00	0.00	1554541	121320	118187	158256	159	1381	1901	0.05	0.00	0.40	0.01	0.55	0.02
4.63	0.00	2.50	5.21	0.00	0.00	0.00	0.00	0.00	1549418	122652	116548	160856	180	1367	1926	0.05	0.00	0.39	0.01	0.55	0.02
4.47	0.00	2.50	5.36	0.00	0.00	0.00	0.00	0.00	1539427	122125	114422	160340	160	1255	1910	0.05	0.00	0.38	0.01	0.57	0.02
4.78	0.00	2.50	5.06	0.00	0.00	0.00	0.00	0.00	1559601	120961	116546	158271	164	1411	1914	0.05	0.00	0.40	0.01	0.55	0.02
4.31	0.00	2.50	5.36	0.00	0.00	0.00	0.00	0.00	1553909	121842	125698	149379	173	1876	1456	0.05	0.00	0.54	0.02	0.42	0.01
5.07	0.00	2.50	4.56	0.00	0.00	0.00	0.00	0.00	1552559	121424	130939	146398	119	2028	1262	0.03	0.00	0.59	0.02	0.37	0.01
4.93	0.00	2.50	4.73	0.00	0.00	0.00	0.00	0.00	1549725	122793	130407	148395	143	1958	1317	0.04	0.00	0.57	0.02	0.39	0.01
4.63	0.00	2.50	5.06	0.00	0.00	0.00	0.00	0.00	1556886	122144	127555	148302	162	1902	1360	0.05	0.00	0.56	0.02	0.40	0.01
4.47	0.00	2.50	5.21	0.00	0.00	0.00	0.00	0.00	1556940	122733	127541	148534	155	1844	1423	0.05	0.00	0.54	0.02	0.42	0.01
5.21	0.00	2.50	4.38	0.00	0.00	0.00	0.00	0.00	1544777	122613	133135	146489	133	2050	1225	0.04	0.00	0.60	0.02	0.36	0.01
4.14	0.00	2.50	5.51	0.00	0.00	0.00	0.00	0.00	1544214	122374	125279	150351	185	1809	1443	0.05	0.00	0.53	0.02	0.42	0.01
4.78	0.00	2.50	4.90	0.00	0.00	0.00	0.00	0.00	1538977	123544	130494	148587	167	1874	1280	0.05	0.00	0.56	0.02	0.39	0.01
4.31	0.00	2.50	5.21	0.00	0.00	0.00	0.00	0.00	1554720	123188	138044	139796	196	2366	948	0.06	0.00	0.67	0.02	0.27	0.01
4.14	0.00	2.50	5.36	0.00	0.00	0.00	0.00	0.00	1553694	122799	138009	140385	175	2352	984	0.05	0.00	0.67	0.02	0.28	0.01
5.07	0.00	2.50	4.38	0.00	0.00	0.00	0.00	0.00	1560862	122455	143127	136684	216	2546	852	0.06	0.00	0.70	0.02	0.24	0.01
4.93	0.00	2.50	4.56	0.00	0.00	0.00	0.00	0.00	1559387	121961	143088	137215	197	2589	839	0.05	0.00	0.71	0.02	0.23	0.01
5.21	0.00	2.50	4.19	0.00	0.00	0.00	0.00	0.00	1559861	120525	144624	134551	175	2696	853	0.05	0.00	0.72	0.02	0.23	0.01
4.47	0.00	2.50	5.06	0.00	0.00	0.00	0.00	0.00	1550244	121289	140202	138109	173	2486	967	0.05	0.00	0.69	0.02	0.27	0.01
4.78	0.00	2.50	4.73	0.00	0.00	0.00	0.00	0.00	1549705	128844	148544	144152	192	2603	916	0.05	0.00	0.70	0.02	0.25	0.01
4.63	0.00	2.50	4.90	0.00	0.00	0.00	0.00	0.00	1549700	123008	142272	138676	179	2548	914	0.05	0.00	0.70	0.02	0.25	0.01
3.97	0.00	2.50	5.51	0.00	0.00	0.00	0.00	0.00	1556064	124097	139761	142591	191	2320	1066	0.05	0.00	0.65	0.02	0.30	0.01
4.93	0.00	2.50	4.38	0.00	0.00	0.00	0.00	0.00	1548624	126216	150151	133216	286	2832	577	0.08	0.00	0.77	0.02	0.16	0.01
4.78	0.00	2.50	4.56	0.00	0.00	0.00	0.00	0.00	1553613	124748	148767	131941	291	2845	582	0.08	0.00	0.77	0.02	0.16	0.01
